Filename,Condition,Character,SubjectID
img_006_009_Kou.png,A,Kou,6
img_008_001_Ko.png,A,Ko,8
img_007_005_Kou.png,A,Kou,7
img_002_008_Cho.png,A,Cho,2
img_004_002_Kou.png,A,Kou,4
img_005_001_Ko.png,A,Ko,5
img_009_004_Kou.png,A,Kou,9
img_008_009_Cho.png,B,Cho,8
img_009_001_Cho.png,B,Cho,9
img_004_004_Kou.png,B,Kou,4
img_003_002_Kou.png,B,Kou,3
img_010_007_Kou.png,B,Kou,10
img_005_009_Cho.png,B,Cho,5
img_004_006_Cho.png,B,Cho,4
img_011_002_Kou.png,C,Kou,11
img_009_009_Kou.png,C,Kou,9
img_006_006_Cho.png,C,Cho,6
img_010_003_Kou.png,C,Kou,10
img_002_001_Cho.png,C,Cho,2
img_007_002_Cho.png,C,Cho,7
img_011_003_Ko.png,C,Ko,11
