Filename,Condition,Character,SubjectID
img_004_001_Cho.png,A,Cho,4
img_004_003_Ko.png,A,Ko,4
img_005_003_Kou.png,A,Kou,5
img_007_006_Ko.png,A,Ko,7
img_009_004_Kou.png,A,Kou,9
img_009_006_Cho.png,A,Cho,9
img_010_006_Ko.png,A,Ko,10
img_003_002_Kou.png,B,Kou,3
img_004_004_Kou.png,B,Kou,4
img_006_001_Cho.png,B,Cho,6
img_006_002_Kou.png,B,Kou,6
img_008_007_Kou.png,B,Kou,8
img_008_009_Cho.png,B,Cho,8
img_010_007_Kou.png,B,Kou,10
img_002_003_Ko.png,C,Ko,2
img_002_002_Kou.png,C,Kou,2
img_003_008_Cho.png,C,Cho,3
img_005_004_Cho.png,C,Cho,5
img_007_002_Cho.png,C,Cho,7
img_009_007_Ko.png,C,Ko,9
img_011_003_Ko.png,C,Ko,11
